Name,Type,Latitude,Longitude
Acheampong Specialist Clinic,Clinic,5.5616954,-0.1725763
Emergency Unit,Clinic,5.3411207,-0.7516456
Patbrenda Clinic & Laboratory,Clinic,6.1070286,-0.2476782
Safeline Medical Laboratory,Clinic,6.0939689,-0.2588954
Unnamed Facility,Clinic,5.5690457,-0.1475528
BJ Medical Centre,Clinic,5.6306277,-0.2609306
Bezzaleel Diagnostic Clinic,Clinic,6.0926275,-0.2600396
DIS Clinic,Clinic,5.1307488,-1.2756277
Salgyin Medical Center,Clinic,5.1395712,-1.2818985
Greenfield,Clinic,5.6188111,-0.0909657
Unnamed Facility,Clinic,7.39112,-1.9331348
Divine Clinic,Clinic,10.3115232,-0.0932731
Unnamed Facility,Clinic,9.2067678,0.020876
Unnamed Facility,Clinic,9.8084411,-0.1146342
Foresight Medical Center,Clinic,6.6169434,0.4635366
Sanford clinic,Clinic,5.1131333,-1.2412593
Pro-Life Medical Center,Clinic,5.5851472,-0.1312636
Efan Victory Clinic,Clinic,5.6243857,-0.0909543
Lucky Herbal Center,Clinic,5.1346126,-1.27704
Darpong Clinic,Clinic,5.6281043,-0.0887588
Unnamed Facility,Clinic,9.4218691,-0.8687112
God Cares Community Hospital,Clinic,9.4039648,-0.9115151
GBC Clinic,Clinic,5.5755888,-0.1941216
Fuo Community Hospital,Clinic,9.4227462,-0.8074925
Habana Medical Service,Clinic,9.4586403,-0.8422097
Chiraa Health Center,Clinic,7.4034605,-2.1827318
Nkwaeso Health Center,Clinic,7.5504484,-1.9899652
Amerilife Spine Clinic,Clinic,6.693929,-1.6458691
Nkwaeso Health Center,Clinic,7.6304082,-1.86511
Christian Medical Service Clinic,Clinic,5.5832145,-0.1050135
Dr. Mensah Herbal Clinic & Shop,Clinic,5.6805873,-0.1731334
Medical & Dental Clini6,Clinic,5.6264187,-0.1537796
La Medicare Ltd,Clinic,5.5577702,-0.1555304
Zonno Chps,Clinic,10.782864,-0.7817848
Airport Clinic Limited,Clinic,5.608267,-0.1709184
Airport Clinic Limited,Clinic,5.6074867,-0.1712902
The Oak Street Clinic & Laboratory,Clinic,5.5908627,-0.0992313
Justab Clinic,Clinic,5.5331968,-0.4290605
Dons Medical Services,Clinic,5.5824186,-0.1983361
New Cross Clinic and Medical,Clinic,5.5823822,-0.1992897
Vision Clinic,Clinic,5.5820843,-0.2012944
Royal Star Clinic and Diagnostic Center,Clinic,5.5904306,-0.2038729
Layfa Clinic,Clinic,5.5815693,-0.1973069
The Oak Street Clinic,Clinic,5.5906987,-0.0992568
Sina Zuwina Herbal Center,Clinic,5.5814972,-0.201922
Unnamed Facility,Clinic,5.5541261,-0.2085015
Zak-med Clinic,Clinic,5.5832245,-0.2077552
Lifeview Medical Laboratory and Ultra Scan centre,Clinic,5.5916186,-0.2045513
Anglican Medical Center,Clinic,5.6972601,-0.2811363
Namolgo Clinic,Clinic,10.7373492,-0.7213148
Save the Nation's Sight Clinic,Clinic,5.6584216,-0.155802
Amamorley Health Centre,Clinic,5.6634783,-0.2968717
Be im Chips Compound,Clinic,8.0019431,-1.4694021
Mini Clinic,Clinic,5.6674754,-0.1856644
Kumfia Healthcare,Clinic,7.779132,-1.2251245
Kumfia Healthcare,Clinic,7.7794723,-1.2247689
Fakwasi,Clinic,7.7763431,-1.3342887
Asubingya chip compounds,Clinic,7.7429908,-2.0629199
Kunsu chip compound,Clinic,8.1468817,-1.512622
Manchala chip co,Clinic,8.1697297,-1.8943225
Dumso Bethel CHPS,Clinic,7.8937996,-1.6576387
Dantano chips compound,Clinic,6.7228836,-2.4348178
Pafo Nkwanta CHPS Compound,Clinic,6.5106386,-2.4339787
Unnamed Facility,Clinic,6.5297009,-2.4162856
Asarekrom CHPS,Clinic,6.5762288,-2.6390223
Mw,Clinic,7.2206418,-2.6417699
Nwawasua Chips compound,Clinic,7.2923522,-2.4031177
Nkyenkyemam CHPS Compound,Clinic,7.4817648,-2.7851598
Bodaa chips compound,Clinic,7.7813696,-2.8200144
Dawiri CHPS Compound,Clinic,7.8268181,-2.682561
Tiadene chips compound,Clinic,7.6708923,-2.4085644
Gyau CHPS Compound,Clinic,7.8572394,-2.3531534
Mansion chips compound,Clinic,7.1176474,-1.9861942
Asuboi chips compound,Clinic,7.2994445,-2.0487166
Adaa CHPS Compound,Clinic,7.2445264,-1.8550088
Osu Maternity Home Hospital,Hospital,5.553747,-0.185228
Neptune Medical Centre,Hospital,5.6494797,-0.0748858
Kwapraw CHP,Clinic,5.1235877,-1.2978729
University Clinic,Clinic,5.3693302,-0.629966
Klimovic Clinic,Clinic,5.3660913,-0.6373014
st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393
Pentecost Clinic,Clinic,8.4934042,0.3041947
Sibi Central CHPS Compound,Clinic,8.6114246,0.2313459
Students Clinic,Clinic,5.1169225,-1.2912532
SDA Hospital,Hospital,6.19789,-1.63915
Elubo Health Center,Clinic,5.2868169,-2.7713319
Frontier Clinic,Clinic,5.2894878,-2.7748077
Asesewa Government Hospital,Hospital,6.4017208,-0.146631
Isaac Opuni License Chemical,Clinic,5.751076,-0.1842713
Life Health Care,Clinic,5.6385411,-0.2415966
Givers Scientic Herbal Clinic,Clinic,5.6078705,-0.1275719
Nsuakyire Community Clinic,Clinic,5.3692264,-0.5845995
Gyangyazie Community clinic,Clinic,5.3962889,-0.576581
Larabanga Health Clinic,Clinic,9.2138807,-1.8568477
Agbogba Community Clinic,Clinic,5.6949529,-0.2012443
Apenamadi chips compound,Clinic,6.9264342,-2.4563998
Mankranso Government Hospital,Hospital,6.8210441,-1.8627434
Tanoso community hospital,Hospital,6.698235,-1.7004398
Medline,Clinic,5.6453133,-0.2475544
Adaklu Ahunda Health Centre,Clinic,6.2884718,0.5447816
Unnamed Facility,Hospital,6.5178085,0.4976908
Aiyinase Clinic,Hospital,5.0433587,-2.4650394
Nana Benie Memorial Health Centre,Hospital,5.0494087,-2.4797998
Enape Clinic,Clinic,7.6329432,-1.91397
West Gonja Hospital,Hospital,9.0635758,-1.7992513
Unnamed Facility,Clinic,5.6720409,-0.2043342
Penbrose Clinic,Clinic,5.6482781,-0.2283482
Unnamed Facility,Clinic,5.6207118,-0.2255232
Anyinasuso Health Centre,Clinic,6.9590279,-2.100323
Ekebaku Health Centre,Clinic,4.9832476,-2.5690692
Buipe Health Center,Clinic,8.7837394,-1.4691558
Unnamed Facility,Hospital,5.561609,-0.2141144
Queensville West Medical Diagnostic,Clinic,4.9387659,-2.3513415
Linfam Medical Centre,Clinic,4.9384975,-2.3514722
Nzema Baptist Hospital,Hospital,5.0756155,-2.5424768
Top Herbal Clinic,Clinic,5.6828351,-0.1935029
Accra West Medical Centre,Hospital,5.5463886,-0.3262091
Unnamed Facility,Hospital,5.5534886,-0.3232397
Wegbe Kpalime Health Centre,Hospital,6.6544992,0.3431017
Maryland Clinic,Clinic,6.18275,-0.472341
Shalina,Clinic,5.5660003,-0.2103476
Mother-Love Hospital,Hospital,5.7165452,-0.1663593
Dawa CHPS compound,Hospital,5.8646901,0.28651
Tsibu Health Center,Hospital,6.5785123,0.2786247
Medifem Multi-Specialist Hospital & Fertility Centre,Hospital,5.6585279,-0.2060705
Central Kasoa Clinic - Annex,Clinic,5.4846975,-0.4201227
Village of Hope Clinic,Clinic,5.4310649,-0.4764993
St. Gregory Catholic Hospital,Hospital,5.5238733,-0.4753579
Roman Trust Clinic,Clinic,5.5049824,-0.4570707
Moore Health Centre,Clinic,5.1364522,-1.1991666
Forever Homeopathic Clinic,Clinic,5.8157087,-2.8256604
Stanford Health,Hospital,5.2651828,-1.0203137
Citadel Hospital,Hospital,5.5964844,-0.2168298
Jubail Specialist Hospital,Hospital,5.6256371,-0.052081
Atta Mills Clinic,Clinic,5.1423082,-1.244005
Denyase CHPS Compound,Clinic,5.8540204,-1.801722
Marie Stopes,Clinic,5.5771803,-0.2137475
Yonkofa Health Center,Clinic,5.7764802,-2.661228
Presbyterian Health Service Enchi,Clinic,5.808526,-2.8342435
Unnamed Facility,Clinic,6.5527816,0.6581066
HOPE Health Center,Clinic,6.5837947,0.457606
CCTU Clinic,Clinic,5.1536489,-1.2783217
Unnamed Facility,Clinic,5.6153356,-2.7332271
New Tafo Government Hospital,Hospital,6.2308156,-0.3660381
Anomangye Specialist Hospital,Clinic,6.7240929,-1.6399322
Nsuta Polyclinic,Clinic,7.0083969,-1.3816722
Donkorkrom Presbyterian Hospital,Hospital,7.0486365,-0.0767851
Unnamed Facility,Clinic,5.8341252,-2.665354
Kwahu Afram Plains North District Helalth Directorate,Hospital,7.0470736,-0.0846019
Presbyterian Eye Clinic,Hospital,7.0493041,-0.0774028
Bruben Health Centre,Clinic,6.8528062,-0.0194326
Power House Hospital,Hospital,6.7297338,-1.6202898
Shia Health Centre,Clinic,6.7944594,0.5618647
Tanyigbe CHPS Compound,Clinic,6.695584,0.5214396
Roseth community eye care,Hospital,6.7176919,-1.4656783
Honuta CHPs Compound,Clinic,6.846869,0.5186765
Vane Health Centre,Clinic,6.8251661,0.4194629
Ameco Clinic,Clinic,6.8438867,0.4380732
St Francis Clinic,Clinic,6.7784318,0.4181632
Saviefe Agorkpo R.C.H Clinic,Clinic,6.7804754,0.4118171
Bodomase Clinic,Hospital,6.8898446,-1.2519242
General Family Hospital,Hospital,5.7243467,-0.0579181
Kwamikrom Health Centre,Clinic,7.2963697,0.3308271
Bodada Health Centre,Clinic,7.3578678,0.4895361
Jasikan District Hospital,Hospital,7.4016712,0.4638923
Abotoase Health Centre,Clinic,7.4064593,0.3032677
Kedjebi Health Centre,Clinic,7.5341706,0.4742815
Katanga CHPs Compound,Clinic,7.6585713,0.3332999
Asukawkaw Health Centre,Clinic,7.6882864,0.3663789
Ahamasu Health Centre,Clinic,7.7255265,0.5502959
Poase Cement Health Centre,Clinic,7.6507641,0.5198688
Pusupu Health Centre,Clinic,8.0520364,0.4905789
Obanda CHPS Compound,Clinic,7.9431833,0.5106067
Asato-Wawaso CHPS Compound,Clinic,7.6545297,0.4441794
Jumbo no 2 CHPs Compound,Clinic,8.507275,0.4364925
Bonakye CHPs Compound,Clinic,8.4005857,0.4033496
Hon Kofi Adjei Ntim Clinic,Clinic,7.53785,0.4638134
Kpongka Health Centre,Clinic,7.7500442,0.4515143
Abubruwa CHPS Compound,Clinic,7.9330107,0.5377045
Faith Maternity Clinic,Clinic,7.5977703,0.5076105
Rabito Clinic,Clinic,10.0742319,-2.5097067
UBIDS Hospital,Hospital,9.9906544,-2.4747012
Classic Diagnostic & Medical Clinic,Clinic,5.7045526,-0.2017476
Bussie Health Centre,Clinic,10.490573,-2.5007604
Moree Health Centre,Clinic,5.1415989,-1.1937171
Adowa Boatemaa Memorial Clinic,Clinic,5.5330576,-0.2373638
St Patrick Hospital,Hospital,6.9986394,0.2870534
Bomso Clinic,Clinic,6.6846225,-1.5789128
Dr Grace Momfi Eye Hospital,Hospital,7.0538252,0.4268626
Likpe Bakua Polyclinic,Hospital,7.1627998,0.5824888
"St. George Polyclinic, Liate",Clinic,6.9854656,0.4895817
James Town Usher Clinic,Clinic,5.5403333,-0.2129899
Homeland Clinic,Clinic,10.0519176,-2.5390234
Atta Quarshie Merton Memorial Hospital,Hospital,5.5619488,-0.2137769
Sogakope Government Hospital,Hospital,6.0013869,0.5949088
Diamed Diagnostical and Treatment Center,Clinic,5.6390968,-0.1774079
Danfa Clinic,Clinic,5.7894523,-0.1595359
Metro Health Hospital,Hospital,6.7088582,-1.637644
McHenly's Medical Centre,Hospital,5.632815,-0.1669205
Star of Hope Hospital,Hospital,6.5054442,-2.4999113
Geomond Eye Centre,Clinic,5.6175006,-0.0787279
Redeemer Hospital,Hospital,5.2842836,-2.0057638
Dr. Forkuo Herbal Clinic,Clinic,5.2858419,-1.9962102
Unnamed Facility,Clinic,7.069111,-2.3239594
Three Stone Hospital,Hospital,6.7156091,-1.6143899
Unnamed Facility,Hospital,6.692788,-1.7907041
Frimpong Boateng Medical Center,Hospital,6.6615016,-1.8205251
Ahwiaso Community Hospital,Hospital,6.3157621,-2.2501706
St. Lucy Eye Clinic,Clinic,5.6345944,-0.0637832
Lebanon Community Hospital,Hospital,5.720567,-0.0578471
Clinic,Clinic,5.6835098,-1.4960854
Eye Clinic,Clinic,10.0576027,-2.4978621
At Jude Clinic,Clinic,10.8941505,-1.0885918
Nogokpo CHPS Compound,Clinic,6.0922432,1.0746767
Zion Praise Hospital,Hospital,6.8417548,-1.5135318
Nkwankwaa Health Centre,Clinic,7.2179158,-1.79409
Atasomanso hospital,Hospital,6.6521749,-1.6332336
Amen Scientific Herbal Clinic,Clinic,5.8038321,-2.8246973
Unnamed Facility,Clinic,5.8275088,-2.8205674
Yizura Hospital,Hospital,8.0467708,-1.7276745
Twifo Praso Polyclinic,Clinic,5.6107566,-1.5489556
Mmaa Baasa CHPS Compound,Clinic,5.6520981,-1.5721956
Medcare Plus Clinic,Clinic,5.7130107,-0.2057906
