date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version,district_name
2023-01-01,2,1011444,RW57,41.0,17.365854,25.669106,77.53658,87.15691,294.26828,315.18942,72.92634,89.56093,93.46601,final,Bugesera
2023-01-11,2,1011444,RW57,41.0,48.80488,24.311382,98.0,85.86016,328.26825,303.26178,183.5631,113.361015,108.11208,final,Bugesera
2023-01-21,2,1011444,RW57,41.0,53.97561,27.619513,120.14634,77.6,350.5366,291.4,180.79855,151.5089,119.951614,final,Bugesera
2023-02-01,2,1011444,RW57,41.0,6.219512,25.347967,109.0,77.27886,332.07318,271.66016,36.969566,138.5532,121.83654,final,Bugesera
2023-02-11,2,1011444,RW57,41.0,5.268293,29.209757,65.46342,82.17724,285.43903,263.81546,30.01569,80.82777,108.044014,final,Bugesera
2023-02-21,2,1011444,RW57,41.0,21.634146,23.110569,33.12195,77.66829,260.63416,243.69186,94.7478,46.114357,106.81256,final,Bugesera
2023-03-01,2,1011444,RW57,41.0,20.268293,43.055283,47.17073,95.37561,233.70732,259.81137,52.581715,51.975506,90.1424,final,Bugesera
2023-03-11,2,1011444,RW57,41.0,74.29269,36.798374,116.19513,102.964226,279.65854,271.00162,189.70279,112.25489,103.13655,final,Bugesera
2023-03-21,2,1011444,RW57,41.0,55.317074,53.117073,149.87805,132.97073,303.14633,288.239,103.78547,112.25427,105.08368,final,Bugesera
2023-04-01,2,1011444,RW57,41.0,59.756096,54.00488,189.36584,143.92032,345.5366,316.5748,109.74702,130.51668,109.00624,final,Bugesera
2023-04-11,2,1011444,RW57,41.0,55.92683,48.057724,171.0,155.17967,352.65854,340.32114,114.83122,109.87661,103.57274,final,Bugesera
2023-04-21,2,1011444,RW57,41.0,60.97561,42.608944,176.65854,144.67154,359.65854,355.31058,138.57817,121.37146,101.20673,final,Bugesera
2023-05-01,2,1011444,RW57,41.0,47.121952,33.930893,164.02438,124.597565,400.56097,363.8935,133.88327,130.4225,109.939865,final,Bugesera
2023-05-11,2,1011444,RW57,41.0,11.780488,28.591871,119.87805,105.13171,407.07318,363.2756,49.95401,113.38974,111.89261,final,Bugesera
2023-05-21,2,1011444,RW57,41.0,12.219512,22.96992,71.12195,85.49268,397.65854,363.13498,61.5644,84.11945,109.37796,final,Bugesera
